"placekey","parent_placekey","location_name","safegraph_brand_ids","brands","top_category","sub_category","category_tags","naics_code","latitude","longitude","street_address","city","region","postal_code","iso_country_code","phone_number","open_hours","opened_on","closed_on","tracking_closed_since","geometry_type","date_range_start","date_range_end","raw_visit_counts","raw_visitor_counts","visits_by_day","visitor_home_cbgs","visitor_country_of_origin","distance_from_home","median_dwell","bucketed_dwell_times","related_same_day_brand","related_same_month_brand","popularity_by_hour","popularity_by_day","device_type","poi_cbg","visitor_home_aggregation","visitor_daytime_cbgs"
244-222@627-s8j-nkf,,Restore 353 Therapies,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,,713940,40.750048,-73.976971,353 Lexington Ave Rm 1001,New York,NY,10016,US,+16469187138,"{ ""Mon"": [[""8:00"", ""20:00""]], ""Tue"": [[""8:00"", ""20:00""]], ""Wed"": [[""8:00"", ""20:00""]], ""Thu"": [[""8:00"", ""20:00""]], ""Fri"": [[""8:00"", ""20:00""]], ""Sat"": [[""10:00"", ""14:00""]], ""Sun"": [] }",,,2019-07,POLYGON,2021-09-01T00:00:00-04:00,2021-10-01T00:00:00-04:00,82,67,"[4,4,4,0,4,0,8,5,3,0,2,0,1,4,1,2,6,1,4,3,3,1,4,2,3,4,1,2,2,4]","{""360594110005"":5,""360610177003"":4,""340030372013"":4,""040131050031"":4,""340170027002"":4,""340390382024"":4,""390610030002"":4,""360610212003"":4,""360811571021"":4,""360610115001"":4,""360610082001"":4,""340373743001"":4,""360850146063"":4,""340130229001"":4,""360610062002"":4,""120860001231"":4,""360610108002"":4,""360470922002"":4}","{""US"":62}",16712,58.5,"{""<5"":1,""5-10"":10,""11-20"":3,""21-60"":30,""61-120"":18,""121-240"":10,"">240"":10}","{""Starbucks"":6,""Pressed Juicery"":5,""Dunkin'"":5,""Wawa"":4,""Atomic Wings"":4,""McDonald's"":4,""Walgreens Pharmacy"":3,""Mobil"":3,""Barnes and Noble College"":3,""Maison Kayser Boulangerie"":3,""Hilton Garden Inn"":3,""Charlotte Tilbury"":3,""Ethan Allen"":3,""Shell Oil"":3,""Hallmark Cards"":1,""Duane Reade by Walgreens"":1,""Tumi"":1,""Fusion Academy"":1,""JD Sports"":1,""Argo Tea"":1}","{""Starbucks"":43,""Dunkin'"":39,""McDonald's"":30,""Target"":25,""Shell Oil"":22,""BP"":21,""CVS"":18,""Mobil"":15,""Subway"":15,""Walgreens Pharmacy"":13,""Walgreens"":13,""Walmart"":12,""Pressed Juicery"":12,""The Home Depot"":10,""Baskin Robbins"":10,""Sunoco"":10,""Chipotle Mexican Grill"":9,""Shake Shack"":9,""Speedway"":9,""7-Eleven"":9}","[1,2,3,4,1,1,2,1,5,13,20,18,20,18,19,16,16,14,9,4,5,4,1,1]","{""Monday"":5,""Tuesday"":17,""Wednesday"":13,""Thursday"":17,""Friday"":12,""Saturday"":6,""Sunday"":12}","{""android"":18,""ios"":45}",360610080001,"{""36047032900"":5,""36061007800"":4,""36047040900"":4,""36081157102"":4,""36005018400"":4,""12086000123"":4,""36059518300"":4,""34005700702"":4,""36061008200"":4,""36061018400"":4,""09001043100"":4,""36081119900"":4,""04013105003"":4}","{""340130229001"":6,""360610080001"":5,""360470568001"":4,""360610080002"":4,""340258100043"":4,""060816098003"":4,""090010722001"":4,""361190132012"":4,""361031907073"":4,""420770062023"":4,""361059504001"":4,""360470345001"":4}"
zzw-226@627-wbv-hqz,,Snap Lifestyles,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,,713940,40.754511,-73.994528,347 W 36th St Rm 502,New York,NY,10018,US,+16465323749,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [[""9:00"", ""17:00""]], ""Sun"": [] }",,,2019-07,POLYGON,2021-09-01T00:00:00-04:00,2021-10-01T00:00:00-04:00,64,35,"[2,2,1,1,0,1,4,2,6,3,2,0,3,2,2,1,2,0,2,2,3,3,4,2,2,0,0,8,3,1]","{""360470282003"":4,""360050166002"":4,""360810463001"":4,""471890303092"":4,""360810942021"":4,""360470307003"":4,""340030545002"":4,""340350532004"":4}","{""US"":25}",21605,92.5,"{""<5"":0,""5-10"":5,""11-20"":2,""21-60"":19,""61-120"":10,""121-240"":16,"">240"":12}","{""Dunkin'"":13,""Edible Arrangements"":6,""Chipotle Mexican Grill"":4,""7-Eleven"":4,""Starbucks"":4,""CVS"":4,""TRYP by Wyndham"":4,""LUKOIL North America"":2,""Shake Shack"":2,""Gong Cha"":2,""Four Seasons Hotels and Resorts"":2,""Walgreens Pharmacy"":2,""Taco Bell"":2,""Just Salad"":2,""LA Fitness"":2,""Mobil"":2,""Bloomingdale's"":2,""ConocoPhillips"":2,""Dollar Rent A Car"":2,""Five Guys"":2}","{""Dunkin'"":57,""Starbucks"":34,""Walgreens Pharmacy"":26,""CVS"":26,""Subway"":26,""BP"":23,""7-Eleven"":23,""McDonald's"":23,""Dollar Tree"":23,""The Home Depot"":20,""Walmart"":17,""Chipotle Mexican Grill"":17,""Baskin Robbins"":17,""Mobil"":17,""Target"":14,""Just Salad"":14,""Pret A Manger"":14,""Taco Bell"":11,""Speedway"":11,""Wendy's"":11}","[1,1,1,2,3,2,1,2,4,14,18,17,17,21,17,16,16,6,10,8,9,6,3,3]","{""Monday"":6,""Tuesday"":17,""Wednesday"":12,""Thursday"":14,""Friday"":8,""Saturday"":5,""Sunday"":2}","{""android"":27,""ios"":8}",360610111001,"{""34039030702"":4,""36061008800"":4,""36081094202"":4,""34003019104"":4,""36103158107"":4}","{""360870116023"":4,""360610088001"":4,""360050166002"":4,""360470282003"":4,""240054906031"":4}"
238-222@627-wc7-xyv,,modelFIT,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,,713940,40.721798,-73.993995,212 Bowery Fl 2,New York,NY,10012,US,+12122192044,,,,2019-07,POLYGON,2021-09-01T00:00:00-04:00,2021-10-01T00:00:00-04:00,44,28,"[1,1,3,2,1,3,2,1,0,2,1,3,1,1,0,0,3,0,2,0,2,0,0,0,8,3,0,2,1,1]","{""360470409001"":5,""360610151004"":4,""360470375002"":4,""360610036022"":4,""360610055022"":4}","{""US"":20}",8231,61.0,"{""<5"":0,""5-10"":0,""11-20"":1,""21-60"":19,""61-120"":12,""121-240"":6,"">240"":6}","{""Mobil"":6,""Dunkin'"":6,""Walmart"":3,""Edible Arrangements"":3,""Starbucks"":3,""Chick-fil-A"":3,""SNIPES"":3,""Renaissance Hotels"":3,""Burger King"":3,""Pop Physique"":3,""Carter's"":3,""Sunoco"":3,""Shell Oil"":3}","{""Starbucks"":29,""Dunkin'"":29,""McDonald's"":21,""Shell Oil"":18,""Michaels Stores"":14,""Mobil"":14,""Key Food"":11,""Target"":11,""Costco"":11,""Subway"":11,""Dollar Tree"":11,""Sonic"":7,""Walmart"":7,""Duane Reade by Walgreens"":7,""Chipotle Mexican Grill"":7,""Chevron"":7,""BP"":7,""Shake Shack"":7,""Walgreens Pharmacy"":7,""Lowe's"":7}","[9,13,11,5,5,4,4,3,4,5,6,3,4,2,4,5,6,7,8,7,6,7,7,8]","{""Monday"":4,""Tuesday"":7,""Wednesday"":3,""Thursday"":2,""Friday"":8,""Saturday"":11,""Sunday"":9}","{""android"":12,""ios"":14}",360610043002,"{""36081089200"":5,""34039038202"":4,""36085008100"":4}","{""360470375002"":6,""340390382022"":4,""360610079004"":4,""360470185012"":4}"
26q-222@627-s4r-nwk,,Visionary Yoga,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,,713940,40.782891,-73.983221,315 W 76th St Apt 5,New York,NY,10023,US,+16467144316,,,,2019-07,POLYGON,2021-09-01T00:00:00-04:00,2021-10-01T00:00:00-04:00,542,263,"[15,18,17,9,9,13,27,22,13,22,12,15,11,18,18,19,31,22,22,14,23,28,14,18,23,22,17,13,18,19]","{""360610163005"":8,""360610134005"":5,""360610177003"":5,""360610238022"":5,""360610163002"":5,""500279663003"":4,""360610077004"":4,""360610163003"":4,""360610165002"":4,""120860046021"":4,""360610151002"":4,""361031905042"":4,""270531055004"":4,""090012203002"":4,""360610167002"":4,""360610155004"":4,""360610163001"":4,""360870133001"":4,""360471022001"":4,""360610167003"":4,""360610124006"":4,""360850187023"":4,""340297138002"":4,""360610153007"":4,""360594062012"":4,""360810473002"":4,""360810458001"":4,""360610187001"":4,""360610134003"":4,""360593010004"":4,""360610159005"":4,""360594124004"":4,""360470818001"":4,""360610173007"":4,""360610185002"":4,""360610149003"":4,""360050267026"":4,""340390308021"":4,""360610157006"":4,""361190146063"":4,""360050340003"":4,""360610149005"":4}","{""US"":246}",10311,42.0,"{""<5"":1,""5-10"":75,""11-20"":67,""21-60"":170,""61-120"":99,""121-240"":60,"">240"":70}","{""Starbucks"":5,""McDonald's"":2,""BP"":2,""Chipotle Mexican Grill"":2,""Dunkin'"":2,""Flywheel"":2,""CVS"":2,""Le Pain Quotidien"":1,""Juice Press"":1,""Maison Kayser Boulangerie"":1,""Mobil"":1,""UBS"":1,""Shake Shack"":1,""7-Eleven"":1,""Bloomingdale's"":1,""Staples"":1,""Haagen Dazs"":1,""Emack & Bolio's Ice Cream"":1,""Subway"":1,""Target"":1}","{""Starbucks"":41,""Dunkin'"":30,""McDonald's"":28,""CVS"":19,""BP"":17,""Chipotle Mexican Grill"":17,""Target"":16,""Subway"":15,""Mobil"":13,""Sunoco"":13,""Staples"":11,""Walgreens"":10,""Juice Press"":10,""Shell Oil"":10,""Costco"":10,""Wendy's"":9,""The Home Depot"":9,""Flywheel"":9,""Shake Shack"":8,""Maison Kayser Boulangerie"":8}","[53,41,40,39,41,43,46,57,69,94,105,109,113,113,105,108,91,71,65,69,58,54,58,58]","{""Monday"":55,""Tuesday"":81,""Wednesday"":101,""Thursday"":83,""Friday"":88,""Saturday"":66,""Sunday"":68}","{""android"":110,""ios"":153}",360610163001,"{""36061016300"":18,""36061015500"":7,""09001022200"":7,""36081055100"":7,""36061016700"":6,""36119002404"":6,""23009966500"":6,""36081028100"":4,""36047038200"":4,""36061017700"":4,""36005011502"":4,""36081157101"":4,""36061015900"":4,""36061012900"":4,""34023006900"":4,""36047048800"":4,""36061015100"":4,""44007003601"":4,""36061018500"":4,""36059406900"":4,""36087013300"":4,""36061014900"":4,""36061013400"":4,""36061016600"":4,""36047016200"":4,""36061019500"":4,""36047052000"":4,""36061017300"":4,""36027010000"":4,""36061004700"":4,""36061015300"":4,""36061018300"":4,""36005030200"":4,""36061015700"":4,""34017002400"":4,""36081027200"":4,""36061012000"":4,""36061002000"":4,""36061030900"":4,""36047035300"":4,""36081047300"":4,""36005004300"":4,""36061023802"":4,""42069110500"":4,""36005019500"":4,""36081017200"":4}","{""360610167002"":8,""360594163003"":6,""360470402002"":5,""360811113001"":5,""360610187001"":5,""360610163001"":5,""360610309003"":4,""360610065003"":4,""361031908004"":4,""361031907062"":4,""360610030021"":4,""360610159004"":4,""360471172012"":4,""360610149003"":4,""361190024043"":4,""360810019001"":4,""360610136006"":4,""360810517001"":4,""360810462002"":4,""360610155005"":4,""360470946003"":4,""360870133001"":4,""360610151004"":4,""360610253004"":4,""360610185002"":4,""360610165003"":4,""360470488003"":4,""360050210021"":4,""360810172001"":4,""360710149002"":4,""360610140004"":4,""360610163002"":4,""360610159001"":4,""360610191003"":4,""360594124004"":4,""360610155002"":4,""360610201024"":4,""360594103005"":4,""360610195003"":4,""340258088003"":4,""360610179003"":4,""360470494002"":4,""360610163004"":4,""360610161004"":4,""361032009025"":4,""360050236002"":4,""361190113001"":4,""360610251001"":4,""360610184001"":4,""360810365002"":4,""360610165002"":4}"
224-222@627-s4n-2zf,,Underdog Fitness,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,,713940,40.76982,-73.955108,330 E 75th St,New York,NY,10021,US,+16466449001,"{ ""Mon"": [[""6:00"", ""21:00""]], ""Tue"": [[""6:00"", ""21:00""]], ""Wed"": [[""6:00"", ""21:00""]], ""Thu"": [[""6:00"", ""21:00""]], ""Fri"": [[""6:00"", ""21:00""]], ""Sat"": [[""10:00"", ""17:00""]], ""Sun"": [[""10:00"", ""17:00""]] }",,,2019-07,POLYGON,2021-09-01T00:00:00-04:00,2021-10-01T00:00:00-04:00,193,105,"[5,7,6,3,7,3,5,3,9,8,7,8,9,15,4,5,5,5,1,10,6,8,3,5,1,2,7,15,9,12]","{""340170127002"":5,""360610125002"":4,""360271700002"":4,""360610082003"":4,""250173825002"":4,""360811010021"":4,""360610154009"":4,""360610126001"":4,""360593004002"":4,""360610145001"":4,""340258060004"":4,""360050205023"":4,""340230026032"":4,""360471522003"":4,""360610118004"":4,""360050054001"":4,""360610225002"":4,""360470399003"":4,""360470356023"":4,""360470702012"":4,""360850303022"":4,""360594103005"":4,""360610108006"":4}","{""US"":104}",14200,77.0,"{""<5"":1,""5-10"":6,""11-20"":11,""21-60"":58,""61-120"":51,""121-240"":32,"">240"":34}","{""Starbucks"":8,""Dunkin'"":4,""BP"":2,""Equinox Fitness Clubs"":2,""Bolla Market"":2,""Baskin Robbins"":2,""Panera Bread"":2,""Sunoco"":2,""Key Food"":1,""Dodge"":1,""Chipotle Mexican Grill"":1,""Chrysler"":1,""Wendy's"":1,""Victra"":1,""Jeep"":1,""Joe & The Juice"":1,""CVS"":1,""Ram"":1,""CorePower Yoga"":1,""Subway"":1}","{""Starbucks"":44,""Dunkin'"":41,""McDonald's"":33,""BP"":22,""CVS"":22,""Subway"":18,""Shell Oil"":16,""Target"":15,""The Home Depot"":15,""Baskin Robbins"":15,""Mobil"":15,""Sunoco"":15,""Walgreens"":13,""Dollar Tree"":13,""Speedway"":12,""Walmart"":11,""Chipotle Mexican Grill"":11,""Taco Bell"":10,""Stop & Shop"":10,""Costco"":10}","[28,26,26,26,26,26,27,14,25,36,40,41,30,28,23,18,24,27,33,28,34,40,38,38]","{""Monday"":29,""Tuesday"":41,""Wednesday"":29,""Thursday"":36,""Friday"":24,""Saturday"":16,""Sunday"":18}","{""android"":38,""ios"":60}",360610134008,"{""36059410300"":7,""36081020800"":5,""36061012800"":5,""36061025700"":5,""42043021901"":4,""36061023801"":4,""36061012600"":4,""36005003800"":4,""13135050430"":4,""36061012400"":4,""36047070201"":4,""34003040001"":4,""44007014200"":4,""36103190706"":4,""36103170001"":4,""36061011800"":4,""36081104700"":4,""36047055400"":4,""36061007300"":4,""36059302400"":4,""36081051800"":4,""36119001401"":4,""36061008200"":4,""36061022500"":4,""36047117201"":4}","{""360050185003"":5,""361031700013"":4,""361190097033"":4,""360850198002"":4,""360610066003"":4,""360271700002"":4,""360594103005"":4,""360610092001"":4,""340258061001"":4,""340030193034"":4,""360471522003"":4,""360810208001"":4,""440070142003"":4,""360593031024"":4,""360710139004"":4,""360471172012"":4,""360050425006"":4,""131350504303"":4,""360610083003"":4,""360050383023"":4,""361031907065"":4,""340030400012"":4,""360610124002"":4,""360811010021"":4,""340270445011"":4}"
zzw-225@627-s8r-qvf,,Equinox Fitness Clubs,SG_BRAND_0cf9d52fc56badb790a6c3965f24eb8c,Equinox Fitness Clubs,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,,713940,40.759848,-73.963083,330 E 61st St,New York,NY,10065,US,,"{ ""Mon"": [[""5:30"", ""22:00""]], ""Tue"": [[""5:30"", ""22:00""]], ""Wed"": [[""5:30"", ""22:00""]], ""Thu"": [[""5:30"", ""22:00""]], ""Fri"": [[""5:30"", ""20:00""]], ""Sat"": [[""7:00"", ""19:00""]], ""Sun"": [[""7:00"", ""19:00""]] }",,,2021-04,POLYGON,2021-09-01T00:00:00-04:00,2021-10-01T00:00:00-04:00,15,7,"[0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,1,1,2,0,0,0,1,0,0,0,1,0,0,1,2]","{""360594136002"":4}","{""US"":4}",28024,82.0,"{""<5"":0,""5-10"":0,""11-20"":1,""21-60"":3,""61-120"":4,""121-240"":3,"">240"":4}","{""Shake Shack"":14,""Powerhouse Gym"":7,""SoulCycle"":7,""CrossFit"":7,""Dunkin'"":7}","{""Starbucks"":57,""Costco"":43,""JD Sports"":29,""Simon mall"":29,""T.J. Maxx"":29,""CrossFit"":29,""CVS"":29,""The RealReal"":14,""Chevrolet"":14,""Rutter's Farm Stores"":14,""Target"":14,""Fairfield Inn & Suites by Marriott"":14,""Chipotle Mexican Grill"":14,""Hermès"":14,""Kwik Trip"":14,""Barnes and Noble"":14,""2nd Wind Exercise Equipment"":14,""ALDI"":14,""Sephora"":14,""Cadillac"":14}","[0,0,0,0,0,0,0,0,1,3,4,4,6,6,6,6,7,7,6,4,0,1,1,0]","{""Monday"":1,""Tuesday"":0,""Wednesday"":4,""Thursday"":3,""Friday"":1,""Saturday"":4,""Sunday"":2}","{""android"":0,""ios"":7}",360610108001,"{""36059301700"":4,""36103190707"":4}","{""361031702011"":6}"
22t-22f@627-s8q-whq,22t-229@627-s8q-whq,GreenBar Fitness,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,,713940,40.761046,-73.968668,139 E 57th St,New York,NY,10022,US,+16464057434,,,,2019-07,POLYGON,,,,,,,,,,,,,,,,,,
23p-222@627-wc7-8gk,,Maggie Studio,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,,713940,40.717025,-73.99613,80 Bowery Rm 302,New York,NY,10013,US,,,,,2019-07,POLYGON,2021-09-01T00:00:00-04:00,2021-10-01T00:00:00-04:00,64,53,"[3,0,0,1,2,0,4,0,2,2,3,4,1,4,5,2,3,2,6,1,1,3,2,6,2,2,0,0,3,0]","{""360610012002"":5,""340297114003"":4,""360470662001"":4,""360850231001"":4,""360470570004"":4,""360470282002"":4,""360610317042"":4,""360610020003"":4,""360470594013"":4,""360470996002"":4,""360610016001"":4}","{""US"":48}",12114,48.0,"{""<5"":0,""5-10"":2,""11-20"":10,""21-60"":26,""61-120"":13,""121-240"":7,"">240"":6}","{""Starbucks"":5,""Staples"":3,""McDonald's"":3,""Dunkin'"":3,""Hallmark Cards"":2,""Barnes and Noble"":2,""Apple Retail Store"":2,""Mobil"":2,""Mattress Firm"":2,""Juice Press"":2,""Wyndham Garden"":2,""BurgerFi"":2,""Marriott Hotels"":2,""Exxon Mobil"":2}","{""Dunkin'"":34,""McDonald's"":28,""Subway"":25,""Starbucks"":23,""BP"":17,""Costco"":17,""Target"":15,""Mobil"":15,""Simon mall"":13,""Baskin Robbins"":13,""Wendy's"":13,""Wyndham Garden"":13,""The Home Depot"":11,""Bolla Market"":11,""Walgreens"":11,""BJ's Wholesale Club"":11,""Sunoco"":11,""Walmart"":9,""Walgreens Pharmacy"":9,""T.J. Maxx"":9}","[4,4,4,4,4,4,4,4,5,9,18,23,21,18,19,14,15,12,4,2,3,3,4,4]","{""Monday"":2,""Tuesday"":9,""Wednesday"":14,""Thursday"":6,""Friday"":11,""Saturday"":8,""Sunday"":14}","{""android"":38,""ios"":16}",360610041002,"{""36047099600"":4,""36061000800"":4,""36061001600"":4,""36047059401"":4,""36061003001"":4,""36047066200"":4,""36047011600"":4,""36081000400"":4,""36081103300"":4,""36047048100"":4,""36061031704"":4,""37183054017"":4,""36061000700"":4,""34029711400"":4}","{""360050297001"":4,""360594057002"":4,""360610008001"":4,""360610036013"":4,""360610016001"":4,""360610041002"":4}"
228-223@627-s8h-vmk,26h-222@627-s8h-vmk,The Fort,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,,713940,40.740893,-73.992274,30 W 21st St,New York,NY,10010,US,+19292198483,,,,2019-07,POLYGON,,,,,,,,,,,,,,,,,,
zzw-229@627-s8j-5fz,zzw-237@627-s8j-5fz,Bodywork By Yves,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,,713940,40.735644,-73.989136,32 Union Sq E Ste 410,New York,NY,10003,US,+13472288935,"{ ""Mon"": [[""12:00"", ""19:00""]], ""Tue"": [], ""Wed"": [[""12:00"", ""19:00""]], ""Thu"": [], ""Fri"": [[""12:00"", ""19:00""]], ""Sat"": [[""10:00"", ""14:00""]], ""Sun"": [] }",,,2019-07,POLYGON,,,,,,,,,,,,,,,,,,
zzw-223@627-wc8-5j9,,United War Veterans Council,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,,713940,40.728268,-74.005797,245 W Houston St Ste 208,New York,NY,10014,US,+12126931476,,,,2019-07,POLYGON,2021-09-01T00:00:00-04:00,2021-10-01T00:00:00-04:00,301,163,"[22,4,10,1,2,0,6,14,15,9,2,3,11,8,20,10,16,3,3,13,14,22,19,12,0,1,13,11,17,20]","{""360810545002"":6,""360594087001"":5,""360610044005"":4,""360594088007"":4,""340170075003"":4,""371290116061"":4,""360470520002"":4,""360610063003"":4,""360050407022"":4,""360610028003"":4,""090091426014"":4,""360610196001"":4,""360594074021"":4,""360470260001"":4,""360610229002"":4,""360710005021"":4,""340390316021"":4,""360070142002"":4,""340230023012"":4,""360470702014"":4,""340297114003"":4,""360470399003"":4,""360471172021"":4,""360811039003"":4,""360610127003"":4,""361190013031"":4}","{""US"":145}",16033,84.0,"{""<5"":3,""5-10"":21,""11-20"":20,""21-60"":76,""61-120"":59,""121-240"":61,"">240"":61}","{""New York Sports Club"":4,""Starbucks"":4,""Dunkin'"":4,""Tim Hortons"":3,""Shake Shack"":2,""Walmart"":1,""BP"":1,""Chipotle Mexican Grill"":1,""Wawa"":1,""Hilton Garden Inn"":1,""McDonald's"":1,""Juice Press"":1,""Courtyard by Marriott"":1,""Subway"":1,""Target"":1,""Jersey Mike's"":1,""Equinox Fitness Clubs"":1,""Cadillac"":1,""Champs Sports"":1,""The Home Depot"":1}","{""Dunkin'"":31,""Starbucks"":29,""McDonald's"":25,""Target"":18,""Walmart"":17,""BP"":17,""CVS"":17,""Sunoco"":17,""Subway"":16,""The Home Depot"":14,""Baskin Robbins"":13,""7-Eleven"":12,""Shell Oil"":12,""Wendy's"":11,""Walgreens Pharmacy"":10,""Staples"":10,""Exxon Mobil"":10,""Dollar Tree"":10,""Chipotle Mexican Grill"":9,""Mobil"":9}","[8,4,3,2,2,10,29,70,95,110,111,105,108,101,93,73,45,37,20,11,17,17,7,6]","{""Monday"":37,""Tuesday"":39,""Wednesday"":95,""Thursday"":68,""Friday"":47,""Saturday"":6,""Sunday"":9}","{""android"":83,""ios"":79}",360610037002,"{""34017018701"":4,""36081014800"":4,""36005014500"":4,""36059409900"":4,""34013019700"":4,""36061016200"":4,""34013019500"":4,""36047042800"":4,""34021002903"":4,""36061001501"":4,""36047090800"":4,""17119403532"":4,""36081008800"":4,""36059520100"":4,""34017007200"":4,""36061006300"":4,""36061004900"":4,""34013002202"":4,""37129011606"":4,""34023001417"":4,""36047048800"":4,""36061022900"":4,""36061012600"":4,""51059431500"":4,""09001020100"":4,""36119001303"":4,""09009142601"":4,""36059408800"":4,""36103145702"":4,""36061004400"":4,""36047078800"":4,""36047031701"":4}","{""510594315002"":4,""340170075003"":4,""360610036012"":4,""360594088007"":4,""360593040024"":4,""340390316021"":4,""340350541005"":4,""360050195003"":4,""360470007001"":4,""340410320002"":4,""360610037002"":4,""340230023012"":4,""330110009023"":4,""360050073003"":4,""360470363002"":4,""360610229002"":4,""361031468001"":4,""360610033003"":4,""360470053002"":4,""360811467003"":4,""360810320004"":4,""360610137004"":4,""360610049001"":4,""360610090001"":4,""360610191002"":4,""360810671001"":4,""360610126001"":4}"
